iter	Passed	Remaining
402	9688	14352
403	9713	14330
404	9737	14305
405	9760	14280
406	9784	14255
407	9806	14229
408	9829	14203
409	9851	14176
410	9873	14150
411	9895	14123
412	9921	14100
413	9945	14077
414	9966	14049
415	9988	14022
416	10013	14000
417	10035	13972
418	10055	13943
419	10080	13920
420	10100	13891
421	10124	13867
422	10147	13842
423	10168	13813
424	10188	13784
425	10210	13757
426	10231	13729
427	10254	13705
428	10275	13676
429	10299	13652
430	10322	13627
431	10346	13604
432	10371	13581
433	10396	13558
434	10421	13536
435	10444	13510
436	10466	13484
437	10488	13458
438	10510	13432
439	10535	13408
440	10558	13383
441	10580	13356
442	10602	13331
443	10626	13307
444	10649	13281
445	10672	13256
446	10695	13232
447	10717	13205
448	10741	13181
449	10762	13153
450	10785	13129
451	10809	13104
452	10829	13076
453	10855	13055
454	10877	13028
455	10899	13002
456	10919	12974
457	10943	12950
458	10967	12927
459	10990	12902
460	11014	12877
461	11039	12855
462	11060	12828
463	11084	12804
464	11108	12781
465	11130	12754
466	11153	12729
467	11177	12705
468	11199	12679
469	11220	12653
470	11241	12625
471	11263	12600
472	11284	12572
473	11308	12549
474	11330	12523
475	11352	12497
476	11377	12474
477	11396	12445
478	11420	12422
479	11446	12400
480	11472	12378
481	11498	12357
482	11519	12330
483	11541	12304
484	11562	12277
485	11585	12252
486	11609	12229
487	11630	12202
488	11650	12174
489	11675	12151
490	11699	12128
491	11722	12103
492	11745	12078
493	11768	12054
494	11789	12027
495	11810	12001
496	11832	11975
497	11854	11949
498	11876	11924
499	11903	11903
500	11926	11879
501	11950	11855
502	11972	11829
503	11995	11804
504	12017	11779
505	12038	11753
506	12060	11727
507	12081	11700
508	12105	11677
509	12127	11651
510	12149	11626
511	12174	11604
512	12197	11579
513	12218	11553
514	12242	11529
515	12266	11505
516	12288	11480
517	12311	11456
518	12334	11431
519	12360	11409
520	12384	11386
521	12410	11364
522	12435	11341
523	12459	11318
524	12482	11293
525	12508	11272
526	12531	11247
527	12555	11223
528	12580	11201
529	12604	11177
530	12628	11153
531	12649	11128
532	12674	11105
533	12694	11078
534	12719	11054
535	12740	11029
536	12764	11005
537	12785	10979
538	12808	10954
539	12830	10929
540	12851	10903
541	12871	10876
542	12893	10851
543	12915	10826
544	12938	10802
545	12959	10776
546	12983	10752
547	13003	10725
548	13027	10702
549	13049	10676
550	13071	10652
551	13095	10628
552	13118	10604
553	13141	10579
554	13162	10553
555	13186	10530
556	13209	10505
557	13232	10481
558	13257	10459
559	13282	10436
560	13307	10413
561	13329	10388
562	13353	10365
563	13380	10343
564	13407	10322
565	13434	10301
566	13456	10276
567	13481	10253
568	13506	10230
569	13532	10208
570	13557	10185
571	13579	10161
572	13604	10137
573	13627	10113
574	13649	10088
575	13674	10065
576	13701	10044
577	13725	10021
578	13749	9997
579	13774	9974
580	13796	9949
581	13818	9924
582	13843	9901
583	13866	9877
584	13892	9855
585	13916	9831
586	13941	9808
587	13968	9787
588	13993	9764
589	14017	9741
590	14042	9718
591	14068	9695
592	14093	9673
593	14115	9647
594	14139	9624
595	14163	9600
596	14189	9578
597	14213	9554
598	14239	9532
599	14263	9509
600	14286	9484
601	14308	9459
602	14328	9433
603	14349	9408
604	14372	9383
605	14395	9359
606	14418	9335
607	14442	9311
608	14466	9287
609	14489	9264
610	14513	9239
611	14539	9218
612	14565	9195
613	14593	9174
614	14621	9153
615	14647	9130
616	14669	9106
617	14692	9081
618	14716	9058
619	14739	9033
620	14761	9009
621	14785	8985
622	14806	8959
623	14830	8936
624	14851	8910
625	14872	8885
626	14897	8862
627	14921	8838
628	14945	8815
629	14966	8789
630	14990	8766
631	15013	8742
632	15037	8718
633	15059	8693
634	15082	8669
635	15107	8646
636	15130	8622
637	15156	8599
638	15182	8577
639	15202	8551
640	15224	8526
641	15254	8506
642	15278	8482
643	15304	8460
644	15328	8436
645	15350	8411
646	15372	8387
647	15393	8361
648	15416	8337
649	15439	8313
650	15462	8289
651	15483	8263
652	15504	8238
653	15526	8214
654	15548	8189
655	15571	8165
656	15595	8142
657	15619	8118
658	15643	8094
659	15666	8070
660	15692	8048
661	15715	8023
662	15739	8000
663	15760	7975
664	15781	7950
665	15802	7924
666	15826	7901
667	15851	7878
668	15873	7853
669	15896	7829
670	15920	7806
671	15943	7781
672	15966	7757
673	15988	7733
674	16012	7709
675	16037	7686
676	16061	7663
677	16084	7638
678	16105	7614
679	16127	7589
680	16149	7564
681	16172	7540
682	16195	7516
683	16217	7492
684	16241	7468
685	16264	7444
686	16287	7420
687	16310	7396
688	16333	7372
689	16354	7347
690	16377	7323
691	16402	7300
692	16423	7275
693	16448	7252
694	16469	7227
695	16494	7204
696	16516	7180
697	16537	7155
698	16560	7131
699	16583	7107
700	16608	7084
701	16632	7060
702	16659	7038
703	16684	7015
704	16707	6991
705	16729	6966
706	16750	6942
707	16777	6919
708	16798	6894
709	16821	6870
710	16845	6847
711	16863	6821
712	16886	6797
713	16911	6773
714	16938	6751
715	16964	6729
716	16987	6704
717	17013	6682
718	17039	6659
719	17063	6635
720	17086	6611
721	17110	6588
722	17132	6564
723	17156	6540
724	17180	6516
725	17203	6492
726	17227	6469
