iter	Logloss
0	0.6116728998
1	0.5390207053
2	0.4789441822
3	0.4414236032
4	0.4128771171
5	0.3870415581
6	0.3634501073
7	0.343340809
8	0.3306232299
9	0.3112742036
10	0.301945531
11	0.2903598335
12	0.2807033267
13	0.2713427158
14	0.265193294
15	0.2600185213
16	0.2559741057
17	0.2528557962
18	0.2495746442
19	0.2453559438
20	0.2407457239
21	0.2380607031
22	0.2343646419
23	0.2323385448
24	0.2299543181
25	0.2278892323
26	0.2260743131
27	0.2230172899
28	0.2197938624
29	0.2163441634
30	0.2135522959
31	0.212160447
32	0.2105995749
33	0.208084915
34	0.205861405
35	0.2030725325
36	0.2010910385
37	0.2001743843
38	0.1989647748
39	0.1976851394
40	0.1958326447
41	0.1949156877
42	0.1937615939
43	0.1917586591
44	0.1905960984
45	0.1888610421
46	0.1875866469
47	0.1860851597
48	0.1852368714
49	0.1849056181
50	0.18341276
51	0.182166792
52	0.1815392793
53	0.1802592886
54	0.179451513
55	0.17891204
56	0.1779604085
57	0.1774785223
58	0.1767831874
59	0.1748072999
60	0.1737592056
61	0.1726493384
62	0.1718776776
63	0.1717786172
64	0.1707700915
65	0.1694554128
66	0.1693568849
67	0.1680471454
68	0.166598849
69	0.1656771214
70	0.1648315122
71	0.164070301
72	0.1634897821
73	0.1627701142
74	0.1626677726
75	0.1618900561
76	0.1611618496
77	0.1606510273
78	0.1598320759
79	0.1597451854
80	0.1590931799
81	0.1586072618
82	0.1573197746
83	0.1567933612
84	0.1562396154
85	0.1556943082
86	0.1553736046
87	0.1544350328
88	0.1543511013
89	0.1538832978
90	0.152833089
91	0.1521188016
92	0.1516185468
93	0.1510648711
94	0.1506146742
95	0.1501429194
96	0.1500758665
97	0.149814482
98	0.1495954387
99	0.1491371311
100	0.1487637167
101	0.1485808935
102	0.1480530164
103	0.1475721889
104	0.1466819529
105	0.1461552617
106	0.1460490306
107	0.1457353512
108	0.1450865547
109	0.1450297841
110	0.1445566361
111	0.1440975847
112	0.1437102074
113	0.1433805013
114	0.1433263252
115	0.1431875984
116	0.1428443611
117	0.1427760284
118	0.1425159159
119	0.1422434838
120	0.1421801666
121	0.1418785332
122	0.1417871207
123	0.1414283819
124	0.1411546545
125	0.1407002989
126	0.1406609895
127	0.1406040793
128	0.1403504671
129	0.1399578846
130	0.139887125
131	0.1397182543
132	0.1393955599
133	0.139233152
134	0.1391182009
135	0.1388358349
136	0.1387963421
137	0.1386085548
138	0.1383206275
139	0.1382146788
140	0.1380269462
141	0.1378796798
142	0.1376255572
143	0.1375700879
144	0.1374743197
145	0.1374084795
146	0.1370328935
147	0.1369019629
148	0.1368264044
149	0.1367813489
150	0.136598924
151	0.1364631863
152	0.1364165861
153	0.1363900985
154	0.1361047368
155	0.135775542
156	0.1354907559
157	0.135304436
158	0.1350196038
159	0.1346990577
160	0.1345626617
161	0.1343509795
162	0.1342141461
163	0.1339115291
164	0.1336979475
165	0.1334392184
166	0.1333474159
167	0.1331978932
168	0.1331594062
169	0.1330091974
170	0.1329613264
171	0.1327431595
172	0.1326012944
173	0.13253209
174	0.1322837799
175	0.132114742
176	0.1319616118
177	0.1318906259
